match_id,date,team_a,team_b,team_a_goals,team_b_goals,winner,is_draw,tournament,stage,city,country,venue,neutral,source,last_updated
1982-06-17-chile-austria,1982-06-17,Chile,Austria,0.0,1.0,Austria,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-17-czechoslovakia-kuwait,1982-06-17,Czechoslovakia,Kuwait,1.0,1.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-17-yugoslavia-northern-ireland,1982-06-17,Yugoslavia,Northern Ireland,0.0,0.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-18-argentina-hungary,1982-06-18,Argentina,Hungary,4.0,1.0,Argentina,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-18-brazil-scotland,1982-06-18,Brazil,Scotland,4.0,1.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-18-italy-peru,1982-06-18,Italy,Peru,1.0,1.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-19-belgium-el-salvador,1982-06-19,Belgium,El Salvador,1.0,0.0,Belgium,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-19-poland-cameroon,1982-06-19,Poland,Cameroon,0.0,0.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-20-england-czechoslovakia,1982-06-20,England,Czechoslovakia,2.0,0.0,England,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-20-spain-yugoslavia,1982-06-20,Spain,Yugoslavia,2.0,1.0,Spain,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-21-algeria-austria,1982-06-21,Algeria,Austria,0.0,2.0,Austria,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-21-france-kuwait,1982-06-21,France,Kuwait,4.0,1.0,France,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-21-honduras-northern-ireland,1982-06-21,Honduras,Northern Ireland,1.0,1.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-22-belgium-hungary,1982-06-22,Belgium,Hungary,1.0,1.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-22-poland-peru,1982-06-22,Poland,Peru,5.0,1.0,Poland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-23-argentina-el-salvador,1982-06-23,Argentina,El Salvador,2.0,0.0,Argentina,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-23-brazil-new-zealand,1982-06-23,Brazil,New Zealand,4.0,0.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-23-italy-cameroon,1982-06-23,Italy,Cameroon,1.0,1.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-24-algeria-chile,1982-06-24,Algeria,Chile,3.0,2.0,Algeria,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-24-france-czechoslovakia,1982-06-24,France,Czechoslovakia,1.0,1.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-24-honduras-yugoslavia,1982-06-24,Honduras,Yugoslavia,0.0,1.0,Yugoslavia,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-25-england-kuwait,1982-06-25,England,Kuwait,1.0,0.0,England,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-25-northern-ireland-spain,1982-06-25,Northern Ireland,Spain,1.0,0.0,Northern Ireland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-28-austria-france,1982-06-28,Austria,France,0.0,1.0,France,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-28-poland-belgium,1982-06-28,Poland,Belgium,3.0,0.0,Poland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-06-29-italy-argentina,1982-06-29,Italy,Argentina,2.0,1.0,Italy,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-07-01-austria-northern-ireland,1982-07-01,Austria,Northern Ireland,2.0,2.0,Draw,True,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1982-07-02-argentina-brazil,1982-07-02,Argentina,Brazil,1.0,3.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
